"index","operator","alert_count","alert_rate","avg_alert_rate","above_average"
"0","Op-5","6","0.1052631579","0.05","True"
"1","Op-14","5","0.0877192982","0.05","True"
"2","Op-4","4","0.0701754386","0.05","True"
"3","Op-16","4","0.0701754386","0.05","True"
"4","Op-2","4","0.0701754386","0.05","True"
"5","Op-7","4","0.0701754386","0.05","True"
"6","Op-1","3","0.0526315789","0.05","True"
"7","Op-10","3","0.0526315789","0.05","True"
"8","Op-13","3","0.0526315789","0.05","True"
"9","Op-20","3","0.0526315789","0.05","True"
"10","Op-3","3","0.0526315789","0.05","True"
"11","Op-9","3","0.0526315789","0.05","True"
"12","Op-15","2","0.0350877193","0.05","False"
"13","Op-8","2","0.0350877193","0.05","False"
"14","Op-19","2","0.0350877193","0.05","False"
"15","Op-17","2","0.0350877193","0.05","False"
"16","Op-6","1","0.0175438596","0.05","False"
"17","Op-12","1","0.0175438596","0.05","False"
"18","Op-11","1","0.0175438596","0.05","False"
"19","Op-18","1","0.0175438596","0.05","False"
